2828	-3127
41996	-1257
28995	-1242
136547	517
144176	858
43399	-701
167942	490
175615	-1109
110207	839
229567	-982
257529	10935
253895	-369
109349	2517
225701	2686
75768	623
6611	-4057
156809	-859
224009	-1544
22620	-1523
203668	131
140520	-1015
266947	-2113
23136	1743
94803	-282
142717	109
257478	672
26601	-4793
17789	806
27639	-178
1655	243
38202	2947
123157	1118
213844	-3742
137203	890
234832	-474
279167	293
84507	-1640
219446	1478
78506	1776
278114	-323
187756	-602
57968	2891
204297	123
102998	-11617
257013	-618
47885	-1014
129276	-656
32965	-1391
103049	282
47364	147
263259	905
9608	1
138985	-344
232888	-1332
148834	-643
129250	4580
249005	-880
215779	2779
252069	2661
200649	811
63183	1044
208320	33
231535	583
242003	-73
256779	-1651
194100	-2343
280136	973
139694	-7820
36406	25
178886	-1353
158231	-3290
143285	-460
285075	2745
197044	348
70753	-2467
146728	-1960
181554	581
280865	-1574
8736	-1965
260242	-1487
27380	-16615
231885	-1610
211188	-906
144222	-39
85421	-1921
60412	17445
18578	6492
71603	114
87526	-5311
108545	-2798
272287	2544
279589	-871
73116	-2378
222869	206
198131	4462
18991	11393
123480	-100
216074	-901
122674	-2153
12454	-427
16841	-1607
220929	-2895
83195	-1714
44151	2152
251569	-1014
64287	-1059
216195	-744
247897	1734
263595	-3734
192099	-1142
139711	10594
239549	-529
107083	660
242830	62
102492	-4355
147482	-152
233600	277
73912	1677
163267	-1380
191334	360
49384	-3810
40122	2091
69653	-42
163972	2180
221972	95
245478	-687
275784	-445
107628	1681
46102	4184
80157	261
91710	109
270734	-721
283331	553
119763	-1269
238791	416
289330	-1388
179621	1589
209607	-2110
252700	-1151
237179	1205
191818	1485
230981	-7092
133809	125
18875	-1052
211053	-2431
68760	2187
93911	893
132774	-1895
231470	-3372
143792	1688
169222	3222
10427	-3715
145544	-1505
109850	-2912
157143	167
297202	3056
46175	-797
24851	444
61509	-711
116828	-1719
74896	-859
196662	-21181
133961	201
206570	-7550
258883	95
186982	-195
230681	-571
101116	66
31142	-29861
170836	-1621
6102	84
296609	-2208
44224	-2928
271333	-328
100341	-665
273334	-752
289158	727
34333	10553
269248	-1402
9727	-233
60002	-541
99538	4203
203565	-402
231779	-898
15014	-3699
79467	4428
238288	333
66875	-370
93701	1911
198485	-2092
23611	2720
204843	5030
224762	745
239041	1805
65126	-1696
76608	-464
72426	-1425
165343	-1240
231948	4512
172809	-367
148481	1075
131233	-651
623	-3079
4631	-3518
225101	5359
50829	-862
153325	1335
46264	-413
229680	279
247407	-326
189508	2808
19820	-1060
74220	259
35827	-4623
49192	5051
236271	-718
282245	-628
251956	-102
193751	21529
16786	-2398
217544	-98
18122	670
60522	4909
227073	-1249
272209	-526
86641	905
153454	5340
118952	1361
271229	-2543
10137	-241
173399	-609
194454	-25562
285645	-800
69908	-59
296742	1448
64027	997
62926	453
146945	-481
156333	-304
69376	802
295136	-593
143546	905
133174	-211
262371	-277
86922	1683
189870	-139
73370	-96
45229	-1368
64553	-2482
36128	-1300
1532	-4915
78603	18
70591	-2341
74545	-1188
132440	1187
96030	9750
145586	-29
63985	1219
6542	-13662
4222	-4431
238167	-10602
286727	-589
290660	0
127928	-380
273283	-3109
201501	437
77986	-942
178636	-3753
228962	-884
145913	1284
177398	-756
148408	-2505
35603	1617
48551	-1705
7678	2749
194975	-1023
109246	4294
220520	4758
110956	2985
90157	-1230
7178	-11379
67140	1002
297867	379
210285	-1627
285458	-786
277106	959
152200	-666
53338	-3462
198258	2071
54954	3315
70153	-965
173475	-730
133045	107
37790	-2626
42648	-256
132598	-2555
207828	650
158610	-334
60739	-2797
103126	-681
276211	-936
170093	-526
292565	-355
22639	5210
159454	759
183163	-667
111045	-6181
157215	-405
35097	-1720
35525	1548
128167	2313
105693	2396
289630	-1280
238866	2531
172910	-58
48868	415
285405	1988
93367	-173
57967	-334
179547	682
89278	-1161
212376	707
103484	1140
168002	-489
248909	-1524
207425	-766
214591	-843
215111	5355
252984	-1927
163241	-864
32090	-102
155463	3169
265137	1514
204933	1934
79788	-25
95414	-372
279274	3947
215586	1896
125691	829
133212	-2417
102035	27823
232785	1021
115193	-722
212416	-245
23768	6151
74718	-769
165940	163
31697	1994
78988	-400
197676	-2053
146800	2934
257191	73
266317	-1487
147365	-1176
141451	-3335
291590	-652
275413	-2210
35687	1962
66011	-1715
101593	1201
139511	5117
237820	2427
103441	-1431
234273	578
195599	777
198998	1837
184285	-278
244857	309
173696	3580
21720	175
145896	885
240760	-4768
268601	-540
98752	4117
162588	-2722
219131	1626
7660	-2283
83424	877
122676	2901
67322	-1805
160144	1196
283439	-726
266138	9245
42884	1217
110366	1704
25614	-2651
180421	837
120555	3340
68175	-798
289557	969
276418	5639
260980	-1253
191297	-351
102904	-1742
186438	1345
150699	-2694
182789	-7593
231265	-3284
182607	10557
121649	-927
250750	-343
72395	-12838
247965	-1641
230692	-547
37085	1372
148444	-1153
282410	-1471
30784	-1620
249606	-507
107726	-2208
161006	-240
101854	3214
152562	-4022
273678	1246
66574	-1587
186068	2897
108302	408
130198	570
235665	535
292465	-3
197444	-2062
58557	-826
63315	-541
27359	-2500
13394	-383
102203	10392
123761	643
141712	-128
183623	1804
198799	-492
255685	-820
280071	49
85641	-52
40654	-1912
281287	54
168864	1138
283286	602
56364	-1063
107848	-2312
63662	-1013
161519	-2708
5711	1140
34550	4642
83007	-2196
296967	-748
134692	489
291841	15112
216517	-964
271860	981
185718	-5647
134616	495
189582	2034
273731	-750
200476	2158
234631	3248
108457	-2385
299917	1385
283027	-1352
117963	-2272
104729	-2146
201811	-1045
3466	-2365
172832	-1348
267684	-1761
62904	75
103535	1420
9268	-1733
124210	-6072
24092	-4643
81254	602
5354	1728
28304	-970
150074	15506
181048	-345
86442	-656
214997	-141
9075	4341
29388	258
10135	99693
216941	3523
275191	2057
294472	917
253663	35
226444	-35
78858	-1434
52570	-3025
218687	-1250
220804	-1850
81272	1220
232200	1506
244737	-612
266838	1796
179792	182
106367	2479
36234	1651
85264	-1001
50492	10636
49917	-5233
53851	-1324
249915	-1504
250894	226
279686	-1298
252163	-1385
179824	1804
86271	-2041
142065	-542
297639	-3582
149796	-12963
160701	194
82206	-205
182824	-4132
179788	750
23121	-619
132197	150
34886	725
143790	1577
119539	948
153619	-2483
137311	-877
227226	893
266050	-16998
74737	-97
153800	-1787
32804	-683
87499	473
256786	-1147
146362	2647
25620	-1735
118775	-21172
152479	15116
104245	-1810
235985	2725
268833	-3995
288122	-246
209673	-205
156077	-882
204893	808
210204	3051
4361	245
105375	-296
18582	963
63877	-1617
89495	-1810
60641	-2909
196586	-1715
134752	159
19530	578
206788	1933
255934	665
270233	-1220
219443	2740
55823	-905
244023	2199
175608	-451
28943	4351
294218	-217
158923	234
12814	-1611
142130	-1130
56367	-510
180326	3223
273737	-1686
67520	218
155418	1486
60619	1545
110986	2412
65725	-1393
146640	9872
113684	-1435
214668	-409
176962	-516
182833	-7977
56300	-1458
64998	12163
243903	-4053
76050	1052
239441	-23880
82813	1993
79393	333
292485	-3056
136044	-1902
16637	976
280857	-817
69443	2762
202759	1140
277892	1116
232328	337
74814	263
5528	-1894
111380	-2432
230839	9566
8243	-3513
242817	-2216
41888	-509
102104	17684
95115	-2993
131602	-2968
179148	-408
273070	-1203
34775	-2556
280936	-668
181451	2515
105067	-6961
43219	-51
146221	-73
85896	-1433
163842	-826
152823	-13
215361	-1
235014	280
256949	-1090
112507	262
13164	-2588
111574	-1440
178537	-2898
6418	-1581
76893	-1961
98254	-1910
279672	567
128506	1600
55221	-953
267863	369
203387	3681
192362	50
145276	994
131632	88
142930	1789
243740	6780
26478	1561
276187	-455
119883	-2288
297181	-3573
39771	525
251002	1600
284947	2086
183106	-1127
75830	514
94798	-2530
92795	-11600
133072	-1828
259047	1403
70344	-1306
276900	-173
195795	1543
48492	2751
299066	2899
229420	-84
82524	-301
27215	-1665
27629	-103
142907	-3561
161583	141
122127	-657
127655	-1573
45633	451
109294	-2154
1975	-1229
240864	9943
88355	18763
56212	3998
272600	-657
